operator_id,assigned_route,address
1,405A(kamla market)(badarpur border),Sunlight Colony, - 110014, Delhi, India
2,419A(Okhla Phase 1)(Delhi Gate / Ambedkar Stadium	),Mayur Vihar, - 110091, Delhi, India
3,502A(Mehrauli Terminal)(Paharganj Dispensary),Safdarjung Airport, Aurobindo Marg Flyover, South Extension, - 110029, Delhi, India
4,405(Badarpur border)(Mori Gate Terminal),Baba Banda Singh Bahadur Setu, South Extension, - 110013, Delhi, India
5,502(Kamla Market)(Mehrauli Terminal),Safdarjung Airport, Aurobindo Marg Flyover, South East Delhi, - 110029, Delhi, India
6,405A(kamla market)(badarpur border),Maharani Bagh, - 110014, Delhi, India
7,405A(kamla market)(badarpur border),Ram Dulari Tundelkar Ji Road, South East Delhi, - 110019, Delhi, India
8,419A(Delhi Gate)(Lado Sarai(Firni Road)),South Extension, - 110049, Delhi, India
9,502A(Mehrauli Terminal)(Paharganj Dispensary),Sector 10, Dwarka - 110075, Delhi, India
10,502A(Mehrauli Terminal)(Paharganj Dispensary),Delhi Cantonment, New Delhi - 110010, Delhi, India
11,419A(Okhla Phase 1)(Delhi Gate / Ambedkar Stadium	),Gautam Buddha Nagar, Dadri - 201318, Uttar Pradesh, India
12,419A(Delhi Gate)(Lado Sarai(Firni Road)),South Extension, - 110049, Delhi, India
