operator_id,Address
1,"Sunlight Colony, - 110014, Delhi, India"
2,"Mayur Vihar, - 110091, Delhi, India"
3,"Safdarjung Airport, Aurobindo Marg Flyover, South Extension, - 110029, Delhi, India"
4,"Baba Banda Singh Bahadur Setu, South Extension, - 110013, Delhi, India"
5,"Safdarjung Airport, Aurobindo Marg Flyover, South East Delhi, - 110029, Delhi, India"
6,"Maharani Bagh, - 110014, Delhi, India"
7,"Ram Dulari Tundelkar Ji Road, South East Delhi, - 110019, Delhi, India"
8,"South Extension, - 110049, Delhi, India"
9,"Sector 10, Dwarka - 110075, Delhi, India"
10,"Delhi Cantonment, New Delhi - 110010, Delhi, India"
11,"Gautam Buddha Nagar, Dadri - 201318, Uttar Pradesh, India"
12,"South Extension, - 110049, Delhi, India"

